,Athlète,Date,Région,Département,Distance,Durée,Dénivelé,Puissance moyenne,Effort,Charge entraînement,Intensité,Vitesse moyenne,Vitesse max,Météo,Température,Humidité,Température ressentie,Vitesse vent,Direction vent
100,David Gaudu,2023-08-24,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,55.87,1:54:47,846,999,9999,999,99,29.2,60.1,Dégagé,29,50,30,3.3,NNW
101,David Gaudu,2023-08-20,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,40.79,1:31:08,864,999,9999,999,99,26.9,54.8,Dégagé,26,57,27,6.1,N
102,David Gaudu,2023-08-19,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,108.19,3:56:02,2279,999,9999,999,99,27.5,64.9,Nuages,23,68,24,6.0,NNW
103,David Gaudu,2023-08-17,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,115.6,3:48:21,1137,999,9999,999,99,30.4,64.0,Dégagé,23,68,24,3.9,N
104,David Gaudu,2023-08-16,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,61.88,3:12:48,1854,999,9999,999,99,19.3,58.7,Dégagé,25,58,26,2.1,S
105,David Gaudu,2023-08-15,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,58.77,2:05:44,1180,999,9999,999,99,28.0,59.8,Dégagé,23,57,23,5.8,N
106,David Gaudu,2023-08-13,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,111.5,4:05:21,2686,999,9999,999,99,27.3,69.7,Dégagé,26,61,27,3.2,SE
107,David Gaudu,2023-08-12,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,117.74,4:18:14,2188,999,9999,999,99,27.4,62.1,Dégagé,25,60,26,3.1,SE
108,David Gaudu,2023-08-11,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,73.57,2:38:30,1442,999,9999,999,99,27.9,59.1,Dégagé,24,61,25,5.6,SSE
109,David Gaudu,2023-08-10,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,42.15,1:22:24,545,999,9999,999,99,30.7,64.2,Quelques nuages,27,51,27,8.7,SE
110,David Gaudu,2023-08-08,Bretagne,Finistère,121.59,3:53:01,880,999,9999,999,99,31.3,55.8,Nuages,14,93,14,12.1,SSW
111,David Gaudu,2023-08-07,Bretagne,Finistère,88.45,2:49:51,721,999,9999,999,99,31.2,50.8,Nuages,14,88,14,5.5,WNW
112,David Gaudu,2023-08-05,Bretagne,Finistère,72.29,2:16:42,250,999,9999,999,99,31.7,54.3,Vent,16,97,16,33.9,WSW
113,David Gaudu,2023-08-04,Bretagne,Finistère,40.28,1:14:27,137,999,9999,999,99,32.5,53.2,Nuages,16,85,16,19.1,NNW
114,David Gaudu,2023-09-05,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,97.0,3:15:29,1099,999,9999,999,99,29.8,64.4,Dégagé,21,62,21,5.3,NE
115,David Gaudu,2023-09-03,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,91.09,2:57:06,797,999,9999,999,99,30.9,50.5,Dégagé,20,58,19,6.0,N
116,David Gaudu,2023-09-05,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,97.0,3:15:29,1099,999,9999,999,99,29.8,64.4,Dégagé,21,62,21,5.3,NE
117,David Gaudu,2023-09-03,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,91.09,2:57:06,797,999,9999,999,99,30.9,50.5,Dégagé,20,58,19,6.0,N
118,David Gaudu,2022-01-15,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,53.47,1:44:30,593,999,9999,999,99,30.7,75.5,Dégagé,8,50,7,7.1,N
119,David Gaudu,2022-01-14,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,102.4,3:30:28,1791,999,9999,999,99,29.2,67.4,Dégagé,7,37,5,8.3,WNW
120,David Gaudu,2022-01-13,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,181.62,6:00:40,2417,999,9999,999,99,30.2,59.3,Dégagé,6,34,4,10.3,N
121,David Gaudu,2022-01-12,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,85.38,2:54:49,1453,999,9999,999,99,29.3,77.6,Dégagé,9,31,8,8.1,N
122,David Gaudu,2022-01-10,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,50.87,1:43:59,929,999,9999,999,99,29.4,59.3,Dégagé,8,38,6,9.3,N
123,David Gaudu,2022-01-09,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,169.98,6:05:40,3457,999,9999,999,99,27.9,59.8,Dégagé,7,61,5,12.6,N
124,David Gaudu,2022-01-08,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,116.53,4:00:37,2019,999,9999,999,99,29.1,66.3,Dégagé,5,47,3,9.2,NNW
125,David Gaudu,2022-01-07,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,90.51,3:09:17,1279,999,9999,999,99,28.7,54.7,Quelques nuages,5,51,3,10.1,NW
126,David Gaudu,2022-01-06,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,54.03,1:49:03,587,999,9999,999,99,29.7,53.2,Dégagé,12,37,12,7.7,NW
127,David Gaudu,2022-01-04,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,166.07,6:00:36,3103,999,9999,999,99,27.6,79.6,Dégagé,6,85,5,8.0,NW
128,David Gaudu,2022-01-03,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,122.5,4:03:26,1564,999,9999,999,99,30.2,66.8,Quelques nuages,7,79,6,7.3,NW
129,David Gaudu,2022-01-02,Auvergne-Rhône-Alpes,Ain,112.48,3:31:04,644,999,9999,999,99,32.0,68.0,Quelques nuages,11,86,11,27.4,SW
130,David Gaudu,2022-02-27,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,167.8,6:04:09,3987,999,9999,999,99,27.6,62.8,Quelques nuages,8,46,6,7.1,NNE
131,David Gaudu,2022-02-25,Bretagne,Côtes-d'Armor,23.39,1:02:19,317,999,9999,999,99,22.5,52.0,Quelques nuages,11,52,11,13.1,NNW
132,David Gaudu,2022-02-24,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,62.62,1:47:28,214,999,9999,999,99,35.0,55.3,Nuages,11,50,11,5.4,N
133,David Gaudu,2022-02-23,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,94.56,3:11:39,818,999,9999,999,99,29.6,68.5,Dégagé,11,47,11,8.2,NNE
134,David Gaudu,2022-02-22,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,47.69,1:37:21,192,999,9999,999,99,29.4,49.9,Dégagé,14,28,14,6.6,N
135,David Gaudu,2022-02-11,Bretagne,Côtes-d'Armor,121.43,3:58:56,1833,999,9999,999,99,30.5,73.9,Quelques nuages,3,93,2,5.0,WNW
136,David Gaudu,2022-02-07,Bretagne,Côtes-d'Armor,45.68,1:29:18,344,999,9999,999,99,30.7,72.7,Quelques nuages,8,95,7,5.4,W
137,David Gaudu,2022-03-31,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,65.77,2:15:53,1301,999,9999,999,99,29.0,63.8,Nuages,13,75,13,7.4,S
138,David Gaudu,2022-03-29,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,198.85,7:01:47,4014,999,9999,999,99,28.3,85.8,Quelques nuages,14,58,14,6.7,ENE
139,David Gaudu,2022-03-28,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,146.19,5:01:44,3083,999,9999,999,99,29.1,71.3,Dégagé,16,50,16,8.9,NNE
140,David Gaudu,2022-03-26,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,169.51,6:00:12,3187,999,9999,999,99,28.2,67.8,Dégagé,15,41,15,18.8,E
141,David Gaudu,2022-03-25,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,112.4,3:57:45,1845,999,9999,999,99,28.4,67.7,Dégagé,14,36,14,7.6,ENE
142,David Gaudu,2022-03-24,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,62.54,2:07:37,1259,999,9999,999,99,29.4,62.0,Dégagé,16,23,16,6.6,ENE
143,David Gaudu,2022-03-23,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,69.57,2:31:12,915,999,9999,999,99,27.6,58.4,Dégagé,12,25,12,6.4,NNW
144,David Gaudu,2022-03-14,Hauts-de-France,Nord,6.05,7:59,1,999,9999,999,99,45.5,50.0,Quelques nuages,14,54,14,14.0,SW
145,David Gaudu,2022-03-14,Hauts-de-France,Nord,7.58,9:56,4,999,9999,999,99,45.8,50.3,Quelques nuages,13,60,13,14.9,WSW
146,David Gaudu,2022-03-14,Hauts-de-France,Nord,7.6,9:54,2,999,9999,999,99,46.1,50.6,Quelques nuages,13,60,13,14.9,WSW
147,David Gaudu,2022-03-14,Hauts-de-France,Nord,7.08,9:19,4,999,9999,999,99,45.6,50.6,Quelques nuages,12,72,12,17.1,SW
148,David Gaudu,2022-03-14,Hauts-de-France,Nord,7.33,9:41,0,999,9999,999,99,45.5,50.5,Quelques nuages,12,72,12,17.1,SW
149,David Gaudu,2022-03-14,Hauts-de-France,Nord,7.32,9:40,11,999,9999,999,99,45.4,50.4,Quelques nuages,9,82,7,16.3,SW
150,David Gaudu,2022-03-14,Hauts-de-France,Nord,7.36,11:04,2,999,9999,999,99,39.9,49.0,Quelques nuages,9,82,7,16.3,SW
151,David Gaudu,2022-03-12,Auvergne-Rhône-Alpes,Ain,153.78,4:20:16,3185,999,9999,999,99,35.5,75.4,Nuages,12,52,12,33.4,E
152,David Gaudu,2022-03-11,Provence-Alpes-Côte d'Azur,Vaucluse,211.86,5:38:22,2887,999,9999,999,99,37.6,82.5,Nuages,12,61,12,24.4,SSE
153,David Gaudu,2022-03-10,Auvergne-Rhône-Alpes,Ain,186.74,5:04:56,3285,999,9999,999,99,36.7,82.3,Quelques nuages,11,51,11,10.8,S
154,David Gaudu,2022-03-09,Auvergne-Rhône-Alpes,Allier,13.17,20:05,192,999,9999,999,99,39.4,70.9,Quelques nuages,15,40,15,9.5,SSE
