,Athlète,Date,Région,Département,Distance,Durée,Dénivelé,Puissance moyenne,Effort,Charge entraînement,Intensité,Vitesse moyenne,Vitesse max,Météo,Température,Humidité,Température ressentie,Vitesse vent,Direction vent
22,Warren Barguil,2023-05-02,Bretagne,Morbihan,57.56,2:53:16,1310,254,2290,124,65,19.9,59.1,Quelques nuages,9,87,8,8.2,ENE
23,Warren Barguil,2023-05-01,Bretagne,Morbihan,137.54,4:00:25,1680,237,3049,149,61,34.3,76.5,Quelques nuages,11,88,10,10.3,NW
24,Warren Barguil,2023-06-28,Bretagne,Morbihan,113.46,3:17:54,1662,276,2758,166,71,34.4,74.2,Dégagé,15,93,15,3.6,NNE
25,Warren Barguil,2023-06-22,Bretagne,Morbihan,117.82,3:27:46,1659,263,2729,159,67,34.0,76.4,Dégagé,17,80,17,10.9,N
26,Warren Barguil,2023-06-21,Bretagne,Morbihan,43.41,1:19:44,240,186,831,30,48,32.7,54.4,Nuages,23,62,24,13.4,SW
27,Warren Barguil,2023-06-20,Bretagne,Morbihan,238.38,6:54:06,3642,247,5450,286,63,34.5,84.1,Quelques nuages,18,87,18,13.0,SW
28,Warren Barguil,2023-06-19,Bretagne,Morbihan,86.23,2:31:42,762,230,1915,88,59,34.1,64.3,Nuages,18,88,18,6.8,S
29,Warren Barguil,2023-06-16,Bretagne,Morbihan,60.63,2:56:54,903,228,2126,102,58,20.6,51.4,Nuages,17,73,17,3.0,NNW
30,Warren Barguil,2023-06-09,Bretagne,Morbihan,96.57,2:51:45,817,223,2095,93,57,33.7,62.1,Pluie,22,80,23,12.3,SE
31,Warren Barguil,2023-07-27,Bretagne,Morbihan,43.96,2:04:12,886,251,1634,86,64,21.2,54.8,Nuages,17,89,18,20.8,SW
32,Warren Barguil,2023-07-23,Île-de-France,Yvelines,115.97,3:02:53,610,222,1704,99,57,38.0,72.1,Nuages,22,72,22,20.1,SW
33,Warren Barguil,2023-07-21,Bourgogne-Franche-Comté,Jura,180.0,3:50:25,2064,290,3140,211,74,46.9,96.4,Quelques nuages,22,60,21,9.0,WNW
34,Warren Barguil,2023-07-20,Auvergne-Rhône-Alpes,Savoie,198.66,4:38:25,1213,212,2659,137,54,42.8,80.7,Dégagé,25,43,25,7.5,NW
35,Warren Barguil,2023-07-19,Auvergne-Rhône-Alpes,Savoie,4.7,10:03,5,56,21,0,14,28.1,53.0,Dégagé,23,47,22,9.5,WNW
