,Date,Station,PM 2.5
844,2022-11-14,Île-de-France,77.0
845,2022-11-15,Île-de-France,62.0
847,2022-11-16,,54.39114832535885
848,2022-11-17,Île-de-France,44.0
849,2022-11-18,Île-de-France,36.0
869,2022-11-19,,54.39114832535885
870,2022-11-20,,54.39114832535885
871,2022-11-21,,54.39114832535885
872,2022-11-22,,54.39114832535885
873,2022-11-23,,54.39114832535885
874,2022-11-24,,54.39114832535885
875,2022-11-25,,54.39114832535885
876,2022-11-26,,54.39114832535885
877,2022-11-27,,54.39114832535885
878,2022-11-28,,54.39114832535885
879,2022-11-29,,54.39114832535885
880,2022-11-30,,54.39114832535885
881,2022-12-01,,54.39114832535885
882,2022-12-02,,54.39114832535885
883,2022-12-03,,54.39114832535885
884,2022-12-04,,54.39114832535885
885,2022-12-05,,54.39114832535885
886,2022-12-06,,54.39114832535885
887,2022-12-07,,54.39114832535885
888,2022-12-08,Île-de-France,76.0
889,2022-12-09,Île-de-France,80.0
890,2022-12-10,Île-de-France,77.0
891,2022-12-11,Île-de-France,73.0
892,2022-12-12,Île-de-France,62.0
893,2022-12-13,Île-de-France,78.0
899,2022-12-14,,54.39114832535885
900,2022-12-15,,54.39114832535885
901,2022-12-16,,54.39114832535885
