,Date,Station,PM 2.5
1194,2023-11-23,,27.58744394618834
1195,2023-11-24,Bourgogne-Franche-Comté,37.0
1197,2023-11-25,Bourgogne-Franche-Comté,10.0
1198,2023-11-26,,27.58744394618834
1199,2023-11-27,Bourgogne-Franche-Comté,30.0
1200,2023-11-28,Bourgogne-Franche-Comté,48.0
1202,2023-11-29,Bourgogne-Franche-Comté,22.0
1203,2023-11-30,Bourgogne-Franche-Comté,48.0
1204,2023-12-01,Bourgogne-Franche-Comté,35.0
1205,2023-12-02,,27.58744394618834
1206,2023-12-03,Bourgogne-Franche-Comté,46.0
1208,2023-12-04,Bourgogne-Franche-Comté,67.0
1209,2023-12-05,,27.58744394618834
1210,2023-12-06,Bourgogne-Franche-Comté,19.0
1212,2023-12-07,Bourgogne-Franche-Comté,27.0
1213,2023-12-08,Bourgogne-Franche-Comté,35.0
1214,2023-12-09,Bourgogne-Franche-Comté,38.0
1215,2023-12-10,Bourgogne-Franche-Comté,28.0
1216,2023-12-11,,27.58744394618834
1217,2023-12-12,Bourgogne-Franche-Comté,18.0
1219,2023-12-13,Bourgogne-Franche-Comté,14.0
1220,2023-12-14,Bourgogne-Franche-Comté,15.0
1221,2023-12-15,Bourgogne-Franche-Comté,19.0
1222,2023-12-16,Bourgogne-Franche-Comté,32.0
1223,2023-12-17,,27.58744394618834
1224,2023-12-18,Bourgogne-Franche-Comté,48.0
1226,2023-12-19,Bourgogne-Franche-Comté,44.0
1227,2023-12-20,Bourgogne-Franche-Comté,43.0
1228,2023-12-21,Bourgogne-Franche-Comté,31.0
1229,2023-12-22,Bourgogne-Franche-Comté,16.0
1230,2023-12-23,Bourgogne-Franche-Comté,14.0
1231,2023-12-24,Bourgogne-Franche-Comté,15.0
1232,2023-12-25,Bourgogne-Franche-Comté,10.0
1233,2023-12-26,Bourgogne-Franche-Comté,17.0
1234,2023-12-27,,27.58744394618834
1235,2023-12-28,Bourgogne-Franche-Comté,59.0
1237,2023-12-29,Bourgogne-Franche-Comté,38.0
1238,2023-12-30,Bourgogne-Franche-Comté,34.0
1239,2023-12-31,,27.58744394618834
